IC_Spawn,from_state,to_state,singlet_1,singlet_2,singlet_3
0034_2,2,3,-154.7247265,-154.61059326,-154.60636159
0034_3,2,1,-154.63808488,-154.63687288,-154.48200489
0035_2,2,3,-154.89452697,-154.62826223,-154.62497233
0035_3,2,1,-154.68734342,-154.67866482,-154.49642582
0035_4,2,1,-154.66230834,-154.65541564,-154.48531695
0035_5,2,1,-154.69682543,-154.68625333,-154.52867296
0035_6,2,1,-154.65690285,-154.65370243,-154.49078395
0036_2,2,1,-154.66715954,-154.65437672,-154.51073811
0036_3,2,1,-154.62232667,-154.61111574,-154.43508345
0036_4,2,1,-154.64337214,-154.64191601,-154.45275928
0036_5,2,1,-154.66740191,-154.66502042,-154.50018902
0037_10,2,1,-154.67030898,-154.66029977,-154.46160861
0037_11,2,1,-154.63327026,-154.6238618,-154.4325295
0037_2,2,3,-154.87296257,-154.60055899,-154.59636928
0037_3,3,2,-154.75533658,-154.60121716,-154.58973843
0037_4,3,2,-154.7378552,-154.62209173,-154.61983109
0037_5,2,1,-154.63620538,-154.63227333,-154.43565877
0037_6,2,3,-154.75396451,-154.62239978,-154.59419921
0037_7,2,1,-154.58909486,-154.58668025,-154.45949598
0037_8,2,1,-154.61182065,-154.60936028,-154.42458037
0037_9,2,1,-154.61485005,-154.60468219,-154.45818934
0038_2,2,1,-154.60947151,-154.6003035,-154.42908355
0038_3,2,1,-154.58645027,-154.58484352,-154.36549744
0039_2,2,1,-154.61105882,-154.60902889,-154.36941995
0040_10,2,1,-154.65728247,-154.64933871,-154.51457948
0040_11,2,1,-154.65274333,-154.64317444,-154.50624811
0040_12,2,1,-154.63536952,-154.62658824,-154.4909826
0040_13,2,1,-154.64121589,-154.64000035,-154.48876797
0040_14,2,1,-154.65116482,-154.65107012,-154.44451076
0040_15,2,1,-154.64041995,-154.63600392,-154.47819591
0040_2,2,3,-154.89162971,-154.62239697,-154.61872775
0040_3,2,3,-154.79639131,-154.63347222,-154.62772096
0040_4,3,2,-154.78875952,-154.64161743,-154.63629751
0040_5,3,2,-154.76833144,-154.61578836,-154.61255366
0040_6,3,2,-154.75136256,-154.61461488,-154.61184318
0040_7,3,2,-154.7406824,-154.59503555,-154.59378702
0040_8,2,1,-154.64814418,-154.63479192,-154.51971616
0040_9,2,1,-154.63540079,-154.63459132,-154.49702815
0041_2,2,3,-154.85667297,-154.58376636,-154.57738573
0041_3,2,1,-154.64762316,-154.64537258,-154.46951396
0041_4,3,2,-154.7440791,-154.618452,-154.60846755
0041_5,3,2,-154.74901754,-154.61568029,-154.61391189
0041_6,2,1,-154.63718611,-154.63244404,-154.49705836
0043_10,3,2,-154.66818135,-154.56478837,-154.56171984
0043_11,2,1,-154.59685201,-154.58887205,-154.43273849
0043_12,3,2,-154.70279796,-154.59756431,-154.54615202
0043_13,2,3,-154.67342473,-154.5607822,-154.55547033
0043_14,3,2,-154.70607884,-154.58646048,-154.58108118
0043_15,2,1,-154.60860044,-154.60190672,-154.40160838
0043_16,2,1,-154.56978331,-154.56437184,-154.40395676
0043_17,3,2,-154.71092698,-154.60121911,-154.59542658
