idx,cluster
0792_4,2
0938_5,1
0434_3,0
0728_6,2
0649_2,1
0298_2,1
0471_3,0
0573_4,2
0860_5,2
0023_5,2
0927_2,2
0164_2,0
0319_3,1
0121_2,0
0770_3,2
0199_2,0
0548_2,0
0265_2,0
0790_6,2
0220_2,0
0018_3,1
0790_7,0
0265_3,0
0018_2,1
0220_3,2
0735_2,0
0548_3,2
0770_2,0
0164_3,0
0927_3,0
0121_3,0
0319_2,1
0023_4,2
0860_4,2
0066_4,2
0434_2,1
0471_2,0
0298_3,1
0649_3,2
0938_4,1
0241_2,0
0079_3,2
0690_2,1
0204_2,0
0320_6,2
0529_2,1
0754_3,0
0385_3,2
0287_4,0
0656_4,1
0591_2,0
0827_6,1
0378_3,1
0903_2,1
0140_2,1
0946_2,0
0105_2,1
0628_2,2
0882_3,0
0410_3,2
0084_3,1
0455_3,1
0186_4,1
0247_4,2
0138_2,0
0300_3,2
0794_3,2
0345_3,2
0281_2,1
0650_2,1
0615_2,1
0383_5,2
0146_4,2
0940_4,2
0103_4,2
0842_3,2
0239_2,1
0807_3,0
0044_3,0
0495_3,2
0551_2,0
0180_2,0
0475_6,0
0769_3,2
0514_2,0
0416_5,2
0324_2,2
0588_3,2
0361_2,2
0159_3,2
0245_6,0
0818_4,0
0263_5,2
0776_4,2
0674_3,0
0631_3,2
0409_2,1
0715_7,0
0025_2,0
0866_2,2
0258_3,1
0060_2,2
0823_2,0
0689_3,1
0432_4,2
0477_4,2
0575_3,1
0708_2,0
0530_3,2
0951_8,0
0595_2,0
0907_2,0
0144_2,2
0339_3,2
0942_2,0
0101_2,0
0886_3,0
0414_3,2
0080_3,2
0669_2,0
0451_3,2
0553_4,0
0516_4,0
0347_5,0
0245_2,0
0694_2,0
0200_2,0
0038_3,2
0715_3,0
0631_7,2
0750_3,0
0568_2,1
0652_4,0
0617_4,0
0160_3,2
0923_3,1
0789_2,1
0495_7,0
0358_2,0
0125_3,0
0821_4,2
0430_2,2
0608_3,1
0475_2,0
0059_2,2
0488_2,2
0261_3,2
0224_3,0
0363_4,0
0633_5,0
0731_2,1
0774_2,1
0219_3,2
0021_2,1
0862_2,0
0064_2,2
0827_2,1
0473_4,2
0749_2,0
0398_2,0
0534_3,2
0320_2,1
0118_3,1
0365_2,0
0267_5,2
0859_4,2
0222_5,2
0099_2,1
0670_3,0
0448_2,0
0635_3,1
0593_4,0
0142_4,2
0944_4,2
0107_4,2
0846_3,0
0005_3,2
0803_3,1
0040_3,0
0927_7,0
0278_2,0
0555_2,0
0184_2,1
0510_2,0
0728_3,0
0880_5,2
0179_2,1
0790_3,2
0341_3,2
0285_2,0
0654_2,2
0429_3,0
0611_2,1
0756_5,0
0756_4,0
0654_3,2
0285_3,2
0611_3,1
0429_2,0
0304_2,0
0341_2,0
0790_2,0
0880_4,0
0086_4,0
0555_3,0
0649_6,2
0728_2,2
0510_3,0
0005_2,0
0846_2,1
0278_3,2
0927_6,0
0491_2,2
0040_2,0
0803_2,1
0142_5,0
0593_5,2
0944_5,2
0448_3,2
0670_2,0
0099_3,2
0635_2,1
0267_4,2
0222_4,0
0118_2,1
0320_3,1
0365_3,0
0398_3,2
0571_2,2
0749_3,2
0534_2,1
0473_5,2
0925_4,2
0166_4,0
0123_4,2
0862_3,2
0021_3,2
0219_2,0
0827_3,1
0064_3,0
0731_3,0
0509_2,2
0633_4,2
0261_2,2
0488_3,2
0059_3,0
0224_2,1
0608_2,1
0430_3,2
0475_3,2
0821_5,2
0358_3,0
0495_6,0
0789_3,1
0923_2,1
0160_2,0
0125_2,2
0652_5,2
0617_5,0
0631_6,2
0715_2,0
0381_2,1
0568_3,1
0750_2,2
0245_3,2
0038_2,0
0347_4,0
0516_5,0
0414_2,2
0886_2,2
0530_6,0
0451_2,2
0669_3,0
0080_2,2
0144_3,2
0595_3,0
0101_3,2
0942_3,0
0339_2,2
0840_4,0
0497_4,0
0921_2,1
0162_2,0
0127_2,2
0432_3,2
0477_3,1
0575_4,1
0530_4,2
0159_4,2
0588_4,0
0263_2,0
0347_6,0
0818_3,2
0226_2,2
0776_3,2
0674_4,0
0631_4,2
0146_3,2
0905_3,1
0597_3,1
0103_3,2
0940_3,0
0239_5,2
0328_8,0
0842_4,2
0495_4,2
0044_4,0
0807_4,0
0551_5,2
0416_2,0
0884_2,1
0453_2,0
0082_2,0
0247_3,2
0879_2,2
0300_4,2
0794_4,2
0281_5,0
0717_2,2
0383_2,1
0752_2,2
0007_2,1
0844_2,2
0493_2,0
0042_2,0
0801_2,0
0378_4,1
0628_5,0
0186_3,1
0512_3,2
0306_2,2
0343_2,0
0792_2,0
0938_3,1
0781_8,2
0241_5,0
0385_4,2
0656_3,1
0287_3,0
0613_3,1
0075_9,2
0927_4,0
0860_3,0
0023_3,2
0825_3,0
0066_3,0
0573_2,1
0536_2,2
0649_4,2
0322_3,2
0672_2,0
0637_2,1
0770_5,0
0548_4,0
0548_5,0
0770_4,2
0672_3,0
0322_2,0
0367_2,1
0018_4,1
0649_5,0
0573_3,1
0536_3,2
0023_2,0
0860_2,0
0066_2,0
0825_2,2
0927_5,2
0075_8,0
0319_4,1
0287_2,2
0656_2,1
0613_2,1
0385_5,0
0241_4,0
0938_2,1
0792_3,0
0343_3,2
0557_2,1
0186_2,1
0512_2,0
0628_4,2
0591_4,0
0946_4,0
0007_3,1
0801_3,2
0042_3,0
0717_3,0
0752_3,2
0383_3,1
0281_4,0
0650_4,1
0247_2,0
0696_2,0
0884_3,1
0416_3,0
0453_3,2
0551_4,2
0180_4,2
0328_9,0
0239_4,0
0044_5,2
0495_5,2
0597_2,1
0905_2,1
0146_2,0
0940_2,2
0103_2,0
0631_5,2
0409_4,1
0733_2,2
0776_2,2
0818_2,1
0347_7,0
0263_3,2
0226_3,2
0361_4,0
0530_5,2
0432_2,0
0477_2,1
0127_3,0
0073_3,2
0830_3,1
0036_3,0
0875_3,2
0951_7,2
0349_5,0
0171_4,0
0421_5,2
0523_2,2
0566_2,1
0909_2,2
0235_4,0
0720_5,1
0518_4,1
0622_2,0
0888_3,0
0667_2,1
0110_5,2
0328_4,2
0486_2,2
0814_2,0
0057_2,0
0851_2,1
0012_2,1
0507_3,0
0193_3,2
0542_3,0
0440_4,0
0091_4,2
0405_4,1
0029_4,0
0211_5,1
0356_2,0
0787_2,1
0313_2,2
0606_3,1
0722_7,0
0643_3,0
0857_4,2
0955_3,0
0116_3,0
0910_3,2
0153_3,2
0582_3,2
0446_2,1
0097_2,0
0403_2,2
0891_2,0
0739_4,2
0195_5,2
0781_4,2
0829_2,0
0683_3,1
0252_3,0
0396_2,0
0702_2,0
0600_5,2
0645_5,2
0132_2,2
0177_2,1
0934_2,2
0927_8,0
0075_5,2
0956_11,2
0208_4,0
0560_4,2
0389_5,1
0462_3,2
0233_2,2
0276_2,0
0624_4,2
0763_3,2
0726_3,0
0763_2,0
0726_2,2
0088_4,2
0374_4,2
0848_2,0
0233_3,2
0276_3,0
0462_2,0
0427_2,0
0389_4,1
0560_5,0
0075_4,2
0208_5,0
0873_4,0
0956_10,2
0132_3,0
0934_3,2
0177_3,1
0600_4,0
0645_4,0
0396_3,0
0702_3,0
0217_2,2
0252_2,0
0683_2,0
0829_3,0
0781_5,0
0168_4,2
0739_5,2
0544_4,2
0195_4,2
0097_3,0
0446_3,1
0891_3,2
0403_3,2
0116_2,2
0955_2,0
0582_2,2
0153_2,0
0910_2,0
0857_5,0
0722_6,2
0606_2,1
0292_2,0
0643_2,0
0313_3,2
0211_4,1
0254_4,2
0678_4,0
0440_5,0
0507_2,2
0542_2,0
0193_2,0
0057_3,0
0814_3,2
0012_3,1
0851_3,1
0328_5,0
0110_4,2
0584_4,0
0155_4,2
0888_2,0
0622_3,2
0667_3,1
0518_5,1
0720_4,1
0499_4,2
0372_2,2
0909_3,2
0337_2,0
0523_3,0
0566_3,2
0421_4,0
0349_4,2
0830_2,1
0073_2,0
0951_6,0
0875_2,2
0036_2,0
0055_3,0
0816_3,0
0484_3,0
0853_3,2
0228_2,2
0951_4,0
0914_4,0
0895_5,2
0407_5,1
0505_2,0
0540_2,1
0778_3,2
0191_2,0
0785_3,2
0354_3,2
0129_2,0
0311_3,1
0256_4,1
0687_4,2
0604_2,2
0290_2,2
0479_3,0
0552_10,2
0641_2,0
0249_3,0
0698_3,1
0832_2,1
0071_2,1
0877_2,0
0034_2,0
0328_7,0
0719_2,0
0521_3,0
0564_3,1
0370_2,2
0599_3,2
0148_3,0
0335_2,0
0620_3,2
0418_2,2
0665_3,0
0767_4,0
0722_4,2
0077_4,0
0032_4,2
0308_2,2
0936_3,0
0175_3,0
0289_3,0
0460_2,2
0425_2,1
0527_5,0
0562_5,0
0376_4,2
0009_2,2
0231_3,2
0781_7,2
0645_6,0
0559_3,1
0761_2,2
0188_3,0
0724_2,1
0956_12,0
0114_2,1
0208_7,2
0957_2,1
0369_3,2
0075_6,2
0580_2,2
0151_2,0
0482_5,1
0503_4,2
0197_4,0
0095_3,2
0444_3,2
0893_3,2
0639_2,0
0215_2,0
0250_2,0
0068_3,0
0352_5,2
0602_4,2
0647_4,2
0745_3,0
0394_3,2
0700_3,2
0538_2,0
0394_2,0
0745_2,0
0538_3,2
0700_2,0
0352_4,2
0215_3,0
0068_2,2
0250_3,0
0444_2,0
0095_2,2
0401_2,0
0639_3,0
0893_2,0
0503_5,2
0197_5,2
0482_4,1
0810_4,2
0208_6,2
0956_13,0
0151_3,2
0580_3,0
0075_7,2
0369_2,0
0188_2,0
0761_3,0
0559_2,1
0645_7,0
0724_3,0
0231_2,0
0781_6,0
0274_2,2
0527_4,2
0562_4,2
0658_2,2
0460_3,0
0289_2,2
0425_3,1
0308_3,2
0130_2,0
0175_2,0
0936_2,0
0032_5,0
0767_5,2
0722_5,0
0620_2,0
0665_2,0
0148_2,0
0599_2,2
0521_2,0
0719_3,2
0564_2,1
0071_3,1
0698_2,1
0249_2,0
0328_6,0
0877_3,2
0136_4,2
0930_4,0
0604_3,0
0641_3,2
0479_2,2
0290_3,0
0743_4,1
0868_4,0
0687_5,0
0256_5,1
0354_2,0
0785_2,1
0311_2,1
0129_3,2
0191_3,0
0778_2,0
0540_3,0
0407_4,1
0895_4,2
0951_5,0
0484_2,0
0816_2,0
0055_2,0
0228_3,0
0853_2,0
0010_2,0
0523_4,0
0464_3,0
0619_2,2
0421_3,2
0853_6,0
0134_2,0
0349_3,0
0171_2,0
0932_2,1
0875_5,2
0622_4,2
0765_3,0
0720_3,1
0518_2,1
0235_2,0
0499_3,0
0270_2,2
0909_4,0
0263_8,0
0440_2,1
0091_2,0
0678_3,2
0405_2,1
0897_2,0
0814_4,2
0146_9,2
0057_4,0
0851_4,1
0953_3,2
0110_3,2
0328_2,0
0916_3,2
0249_6,2
0155_3,0
0584_3,0
0579_3,1
0390_2,0
0741_2,0
0704_2,0
0029_2,2
0211_3,1
0685_3,0
0254_3,0
0739_2,2
0195_3,2
0544_3,0
0097_4,2
0891_4,0
0582_5,2
0480_2,1
0269_3,0
0812_2,0
0051_2,0
0857_2,2
0308_7,0
0014_2,1
0600_3,0
0438_2,1
0645_3,0
0294_3,2
0396_4,0
0683_5,0
0350_2,0
0168_3,2
0781_2,2
0315_2,0
0462_5,2
0525_2,0
0560_2,2
0389_3,1
0095_6,0
0758_3,0
0075_3,2
0836_3,1
0151_7,0
0873_3,0
0208_2,0
0132_4,0
0177_4,0
0934_4,2
0624_2,2
0459_3,2
0088_3,2
0661_2,2
0374_3,0
0109_2,0
0331_3,2
0233_4,0
0276_4,0
0233_5,0
0374_2,0
0331_2,0
0624_3,2
0088_2,1
0459_2,2
0726_4,2
0934_5,2
0177_5,0
0151_6,0
0836_2,1
0075_2,2
0208_3,0
0873_2,0
0030_2,2
0525_3,2
0758_2,0
0095_7,0
0389_2,1
0560_3,0
0462_4,0
0781_3,2
0168_2,2
0315_3,0
0683_4,0
0396_5,0
0438_3,1
0600_2,2
0294_2,0
0645_2,0
0812_3,2
0269_2,1
0480_3,0
0308_6,0
0857_3,2
0582_4,0
0153_4,2
0097_5,2
0739_3,2
0544_2,0
0195_2,0
0211_2,1
0029_3,2
0254_2,2
0685_2,0
0606_4,1
0741_3,0
0390_3,2
0579_2,1
0704_3,0
0328_3,0
0110_2,2
0953_2,2
0584_2,2
0155_2,2
0916_2,0
0146_8,2
0814_5,2
0851_5,1
0542_4,2
0678_2,2
0091_3,2
0440_3,0
0897_3,0
0405_3,1
0263_9,0
0235_3,1
0048_2,0
0499_2,2
0765_2,0
0290_6,2
0518_3,1
0720_2,1
0830_4,1
0875_4,0
0134_3,0
0228_6,2
0798_2,2
0932_3,1
0171_3,2
0349_2,0
0464_2,2
0421_2,0
0540_4,2
0191_4,0
0442_3,0
0895_3,1
0407_3,1
0875_6,2
0112_2,1
0951_2,1
0586_2,2
0157_2,1
0914_2,0
0853_5,2
0228_4,0
0604_4,2
0290_4,2
0743_3,1
0392_3,1
0213_2,2
0868_3,0
0256_2,1
0687_2,2
0129_4,2
0311_5,1
0466_2,0
0423_2,1
0249_5,2
0698_5,1
0071_4,1
0877_4,2
0136_3,2
0930_3,0
0173_3,0
0767_2,0
0722_2,0
0599_5,2
0148_5,0
0809_2,0
0272_3,1
0527_3,0
0562_3,0
0460_4,2
0308_4,0
0834_2,0
0077_2,0
0871_2,0
0032_2,0
0626_3,0
0663_3,0
0761_4,0
0376_2,1
0333_2,0
0095_5,0
0893_5,0
0639_4,2
0503_2,0
0546_2,1
0462_6,2
0197_2,2
0810_3,2
