IC_Spawn,singlet_1,singlet_2,meci_type
0382_6,-77.76287566,-77.7624766,Ethylidene_Straight
0382_7,-77.7652376,-77.76317385,Ethylidene_Straight
0382_8,-77.78710392,-77.78665979,Ethylidene_Bent
0382_9,-77.75175877,-77.75109467,Ethylidene_Bent
0383_2,-77.72569783,-77.71751223,Ethylidene_Straight
0383_3,-77.73088001,-77.72292065,H_Dissociation
0383_4,-77.74800285,-77.74158703,Ethylidene_Bent
0383_5,-77.79810535,-77.79807085,Ethylidene_Bent
0384_2,-77.76219833,-77.76135319,Twist
0384_3,-77.76782268,-77.76022941,Twist
0384_4,-77.77177356,-77.76450668,Twist
0385_2,-77.71082879,-77.70503706,H_Dissociation
0385_3,-77.67698888,-77.66892266,Ethylidene_Straight
0385_4,-77.7849754,-77.77926036,Twist
0385_5,-77.70919101,-77.70546768,Twist
0386_2,-77.71956179,-77.71709243,Ethylidene_Bent
0386_3,-77.81282732,-77.81126512,Ethylidene_Bent
0387_2,-77.70795901,-77.70481222,Twist
0388_2,-77.78242076,-77.77542533,Twist
0388_3,-77.77098723,-77.76876041,Ethylidene_Straight
0388_4,-77.74385953,-77.74334657,Ethylidene_Straight
0389_2,-77.70497704,-77.69614509,H_Dissociation
0389_3,-77.68533615,-77.6767744,H_Dissociation
0389_4,-77.71029529,-77.70666502,H_Dissociation
0389_5,-77.68232174,-77.68027123,Ethylidene_Bent
0390_2,-77.74844306,-77.74597864,Twist
0390_3,-77.7769531,-77.77357704,Twist
0391_2,-77.75644804,-77.75494,Twist
0392_2,-77.70607752,-77.6985804,H_Dissociation
0392_3,-77.66171566,-77.65940121,Ethylidene_Bent
0393_2,-77.80315795,-77.80152933,Ethylidene_Bent
0393_3,-77.81387751,-77.81163533,Ethylidene_Bent
0393_4,-77.7375621,-77.73732473,Ethylidene_Straight
0393_5,-77.75468167,-77.75236856,Ethylidene_Straight
0394_2,-77.80853055,-77.80828473,Ethylidene_Straight
0394_3,-77.80500031,-77.80220018,Ethylidene_Bent
0395_2,-77.75191585,-77.74524782,Twist
0395_3,-77.68954078,-77.67873513,Twist
0395_4,-77.7648121,-77.75689073,Twist
0395_5,-77.73841273,-77.73755622,Twist
0396_2,-77.80873882,-77.80704373,Ethylidene_Straight
0396_3,-77.80920343,-77.80690827,Ethylidene_Bent
0396_4,-77.78184715,-77.78141193,Ethylidene_Straight
0396_5,-77.781331,-77.78080201,Ethylidene_Bent
0397_2,-77.78744559,-77.7871202,Ethylidene_Straight
0398_2,-77.77506915,-77.76805947,Twist
0398_3,-77.81211276,-77.81122241,Ethylidene_Straight
0399_2,-77.7573133,-77.75645657,Ethylidene_Straight
0399_3,-77.83317467,-77.83250226,Ethylidene_Straight
0399_4,-77.7704212,-77.76764744,Ethylidene_Bent
0399_5,-77.78387163,-77.78360094,Ethylidene_Bent
0400_2,-77.74248513,-77.73656936,Twist
0400_3,-77.75655914,-77.74997618,Twist
0400_4,-77.83669022,-77.83662353,Ethylidene_Bent
0400_5,-77.76821139,-77.76642403,Ethylidene_Straight
0401_2,-77.72358268,-77.72165811,Twist
0402_2,-77.68608144,-77.68154702,Ethylidene_Straight
0402_3,-77.686029,-77.68288867,H_Dissociation
0403_2,-77.76006205,-77.75240865,Twist
0403_3,-77.71779977,-77.71667646,0341_3
0404_2,-77.73437369,-77.72637343,Twist
0404_3,-77.68013094,-77.67950963,Twist
0405_2,-77.71427543,-77.70738885,0032_5
0405_3,-77.7305993,-77.72670256,H_Dissociation
0405_4,-77.719032,-77.7161228,Ethylidene_Bent
0406_2,-77.74688313,-77.74590982,Twist
0406_3,-77.71568667,-77.7154682,Ethylidene_Bent
0406_4,-77.78304498,-77.7796262,Ethylidene_Bent
0407_2,-77.72652935,-77.71804665,Ethylidene_Bent
0407_3,-77.70506553,-77.70212121,Ethylidene_Straight
0407_4,-77.70367327,-77.70005687,Ethylidene_Straight
0407_5,-77.70554754,-77.70404842,Ethylidene_Bent
0408_2,-77.76688005,-77.76531096,Twist
0408_3,-77.74159637,-77.73551005,Twist
0409_2,-77.69993881,-77.69276379,Ethylidene_Bent
0409_3,-77.70334959,-77.69950089,H_Dissociation
0409_4,-77.70182423,-77.69774073,H_Dissociation
0410_2,-77.7218639,-77.71823241,Ethylidene_Straight
0410_3,-77.71098078,-77.70916692,Twist
0411_2,-77.75805246,-77.75660223,Twist
0412_2,-77.71394726,-77.70925793,Ethylidene_Bent
0412_3,-77.70381546,-77.70300851,H_Dissociation
0413_2,-77.70359814,-77.69729237,H_Dissociation
0413_3,-77.70836553,-77.69918791,Ethylidene_Bent
0413_4,-77.71372478,-77.70928404,Ethylidene_Straight
0414_2,-77.71626276,-77.7086486,Twist
0414_3,-77.74577182,-77.74232973,Ethylidene_Bent
0414_4,-77.68834073,-77.67928598,Twist
0414_5,-77.76613818,-77.7561848,Ethylidene_Straight
0414_6,-77.72010767,-77.71888879,Twist
0415_2,-77.81809806,-77.81775602,Ethylidene_Straight
0415_3,-77.81223445,-77.81213624,Ethylidene_Straight
0416_2,-77.73052982,-77.72522763,Twist
0416_3,-77.72283642,-77.7217743,Ethylidene_Bent
0416_4,-77.78061247,-77.77971488,Ethylidene_Bent
0416_5,-77.75238524,-77.75114602,Ethylidene_Bent
0417_2,-77.69485439,-77.69071074,Twist
0417_3,-77.72132341,-77.71790408,Twist
0418_2,-77.79878136,-77.79572989,Twist
0419_2,-77.68884298,-77.68453164,H_Dissociation
