IC_Spawn,from_state,to_state,singlet_1,singlet_2,singlet_3,meci_type
0128_8,2,1,-230.31705137,-230.30582898,-230.18210899,Type_2
0128_9,2,1,-230.33533899,-230.33231522,-230.21569298,Type_2
0129_4,2,1,-230.34813569,-230.34547321,-230.24056841,Type_3
0129_5,2,1,-230.37591909,-230.37015526,-230.27156534,Type_3
0129_6,2,1,-230.361574,-230.35426786,-230.24593199,Type_1
0130_5,2,1,-230.35655869,-230.35493845,-230.24099356,Type_3
0130_6,2,1,-230.36114122,-230.35926215,-230.25235471,Type_3
0130_7,2,1,-230.36638663,-230.3525704,-230.24766823,Type_2
0130_8,2,1,-230.33433659,-230.3290189,-230.20193558,Type_2
0130_9,2,1,-230.32699951,-230.32269182,-230.20260741,Type_1
0131_10,2,1,-230.3312708,-230.32852393,-230.21382127,Type_1
0131_11,2,1,-230.34940808,-230.34645674,-230.2071225,Type_1
0131_12,2,1,-230.3516896,-230.34237128,-230.22666138,Type_1
0131_13,2,1,-230.3609704,-230.35221814,-230.21345239,Type_1
0131_14,2,1,-230.35693733,-230.3524946,-230.24735224,Type_1
0131_15,2,1,-230.36269318,-230.35976972,-230.24964557,Type_2
0131_5,2,1,-230.34290677,-230.33400573,-230.22297134,Type_3
0131_7,2,1,-230.34853121,-230.34652943,-230.22868383,Type_3
0131_9,2,1,-230.34446304,-230.34217745,-230.23304521,Type_1
0132_5,2,1,-230.35277849,-230.35100644,-230.26670907,Type_2
0132_6,2,1,-230.34182111,-230.3389245,-230.1879585,Type_1
0132_7,2,1,-230.34944499,-230.34185352,-230.23792796,Type_2
0132_8,2,1,-230.33510815,-230.33185562,-230.18632265,Type_1
0132_9,2,1,-230.31994424,-230.31712522,-230.22191652,Type_2
0134_10,2,1,-230.37313095,-230.3645207,-230.27072499,Type_3
0134_11,2,1,-230.35983273,-230.35525158,-230.25078525,Type_3
0134_12,2,1,-230.35786067,-230.35284892,-230.22099727,Type_1
0134_13,2,1,-230.35042152,-230.34224302,-230.2262885,Type_3
0134_14,2,1,-230.34350724,-230.33989578,-230.22454449,Type_3
0134_15,2,1,-230.33970283,-230.33930104,-230.25599234,Type_2
0134_4,2,1,-230.35651137,-230.35515306,-230.24111225,Type_3
0134_5,2,1,-230.36510757,-230.36442325,-230.24876938,Type_2
0134_7,2,1,-230.37458082,-230.36041111,-230.26381351,Type_3
0135_10,2,1,-230.37550307,-230.36946928,-230.26388868,Type_2
0135_11,2,1,-230.35620431,-230.3513322,-230.24870415,Type_2
0135_12,2,1,-230.32554846,-230.31715391,-230.22007873,Type_2
0135_13,2,1,-230.34584048,-230.33211952,-230.23421533,Type_3
0135_14,2,1,-230.33867994,-230.33376903,-230.22417994,Type_1
0135_15,2,1,-230.31947131,-230.31769486,-230.2373996,Type_1
0135_16,2,1,-230.3484175,-230.34642713,-230.23440018,Type_2
0135_17,2,1,-230.31443365,-230.31314316,-230.20893657,Type_2
0135_3,2,1,-230.35647711,-230.34897089,-230.25162888,Type_3
0135_5,2,1,-230.3497912,-230.34546819,-230.2467063,Type_3
0135_7,2,1,-230.39327655,-230.37604136,-230.273983,Type_3
0135_8,2,1,-230.33310087,-230.3249822,-230.19890174,Type_2
0135_9,2,1,-230.33758231,-230.32991871,-230.21690886,Type_2
0137_10,2,1,-230.34408548,-230.33293731,-230.21459342,Type_1
0137_11,2,1,-230.35079629,-230.35037959,-230.23841169,Type_2
0137_4,2,1,-230.3625404,-230.34115763,-230.25318596,Type_3
0137_6,2,1,-230.36242934,-230.35591624,-230.2614829,Type_3
0137_7,2,1,-230.33565558,-230.33186873,-230.23113657,Type_3
0137_8,2,1,-230.3599514,-230.35850491,-230.26916486,Type_2
0137_9,2,1,-230.34234356,-230.34179982,-230.21916718,Type_2
0138_3,2,1,-230.35196889,-230.34483876,-230.2483352,Type_3
0138_4,2,1,-230.32965074,-230.32004158,-230.24535382,Type_3
0138_5,2,1,-230.363409,-230.3619421,-230.2538097,Type_1
0138_6,2,1,-230.3206976,-230.31645056,-230.21466738,Type_2
0139_10,2,1,-230.34089198,-230.3312615,-230.20766307,Type_1
0139_11,2,1,-230.35535499,-230.35275473,-230.21378336,Type_1
0139_12,2,1,-230.31378367,-230.3125119,-230.19087688,Type_1
0139_13,2,1,-230.35131209,-230.34936399,-230.24070414,Type_1
0139_14,2,1,-230.35705243,-230.35390602,-230.25435167,Type_1
0139_15,2,1,-230.36939544,-230.35864372,-230.26436092,Type_2
0139_16,2,1,-230.36405938,-230.3556174,-230.25590354,Type_3
0139_17,2,1,-230.34880719,-230.33730927,-230.22578505,Type_2
0139_18,2,1,-230.34860735,-230.34217898,-230.23044291,Type_2
0139_6,2,1,-230.34386409,-230.33939082,-230.21983044,Type_1
0139_7,2,1,-230.32965764,-230.32603696,-230.19996392,Type_1
