IC_Spawn,singlet_1,singlet_2
0655_2,-77.7225351,-77.71642161
0655_3,-77.71742313,-77.71632382
0656_2,-77.7182333,-77.71181479
0656_3,-77.6905526,-77.68517833
0656_4,-77.68840816,-77.68753203
0657_2,-77.75395914,-77.74834237
0657_3,-77.79974242,-77.7975751
0658_2,-77.73615939,-77.73455018
0659_2,-77.67679181,-77.67282292
0659_3,-77.69012947,-77.68597349
0659_4,-77.68382462,-77.68136615
0660_2,-77.78112742,-77.77788293
0660_3,-77.75615916,-77.75591216
0661_2,-77.70458864,-77.69352861
0662_2,-77.67214109,-77.67112992
0662_3,-77.6833109,-77.67752966
0662_4,-77.78122779,-77.77060593
0662_5,-77.74525421,-77.74397475
0662_6,-77.70491138,-77.7046805
0663_2,-77.69571101,-77.69199003
0663_3,-77.74259191,-77.73721864
0664_2,-77.70960166,-77.70711043
0664_3,-77.70282009,-77.69703955
0665_2,-77.7765715,-77.77323089
0665_3,-77.76812707,-77.75966415
0665_4,-77.73459385,-77.73179096
0666_2,-77.73311476,-77.728713
0666_3,-77.77978873,-77.77764571
0667_2,-77.66937517,-77.66494616
0667_3,-77.67076661,-77.66760856
0668_2,-77.70747277,-77.70594211
0669_2,-77.7672472,-77.76281685
0669_3,-77.8474069,-77.847127
0669_4,-77.7787874,-77.77805089
0669_5,-77.79532283,-77.79280896
0670_2,-77.78076295,-77.77477625
0670_3,-77.79163359,-77.78519686
0670_4,-77.75711682,-77.74749757
0670_5,-77.80440412,-77.80035701
0671_2,-77.78322388,-77.78259721
0671_3,-77.73824229,-77.73405353
0672_2,-77.72810361,-77.72376853
0672_3,-77.72739674,-77.72164619
0673_2,-77.77265293,-77.76576271
0673_3,-77.69885591,-77.69346029
0673_4,-77.79415369,-77.7940557
0673_5,-77.7420584,-77.74146075
0674_2,-77.82192629,-77.82008779
0674_3,-77.78286822,-77.78082636
0674_4,-77.78701993,-77.78598031
0675_2,-77.7119669,-77.70501966
0675_3,-77.70345402,-77.69932939
0675_4,-77.70010043,-77.69779466
0676_2,-77.76345016,-77.7615317
0677_2,-77.82675294,-77.82643734
0677_3,-77.82680335,-77.82494097
0677_4,-77.81020153,-77.80351943
0678_2,-77.75056303,-77.74296719
0678_3,-77.72086574,-77.71748354
0678_4,-77.70218895,-77.69613792
0679_2,-77.6884581,-77.68338858
0679_3,-77.68600903,-77.68352129
0679_4,-77.71461163,-77.71194741
0680_2,-77.73572501,-77.73364098
0680_3,-77.74394803,-77.74352795
0680_4,-77.71087988,-77.70453631
0680_5,-77.71288884,-77.71179124
0682_2,-77.75126958,-77.74771093
0683_2,-77.68172666,-77.67478557
0683_3,-77.72900579,-77.72282702
0683_4,-77.82084604,-77.82020916
0683_5,-77.84988534,-77.84927076
0684_2,-77.72142889,-77.71507112
0684_3,-77.7975032,-77.78813473
0684_4,-77.77315682,-77.77070286
0685_2,-77.75282406,-77.75229853
0685_3,-77.76847372,-77.76602546
0686_2,-77.72363163,-77.71527881
0686_3,-77.76840378,-77.75957377
0686_4,-77.84083921,-77.84069851
0686_5,-77.79802399,-77.79281573
0687_2,-77.82088132,-77.81937033
0687_3,-77.80498947,-77.80382199
0687_4,-77.77648439,-77.77569018
0687_5,-77.812155,-77.80978589
0688_2,-77.82055933,-77.82005233
0688_3,-77.77908438,-77.77864444
0689_2,-77.71456805,-77.71230627
0689_3,-77.70280287,-77.69854253
0690_2,-77.72681446,-77.72545279
0691_2,-77.71384141,-77.71184319
0691_3,-77.69583371,-77.6952614
0692_2,-77.75980105,-77.75699635
0693_2,-77.73081431,-77.7303432
0693_3,-77.72131027,-77.71653341
0693_4,-77.69167828,-77.69078793
0693_5,-77.72111753,-77.71921002
0694_2,-77.76039187,-77.75904331
0695_2,-77.80179019,-77.79753618
0695_3,-77.72428278,-77.722168
0696_2,-77.78738578,-77.78727769
0697_2,-77.8102623,-77.80987485
0698_2,-77.72144381,-77.71608334
0698_3,-77.68174745,-77.67428424
0698_4,-77.70974872,-77.69911868
0698_5,-77.70186308,-77.699211
0699_2,-77.73133116,-77.72576649
0699_3,-77.75911207,-77.75676686
0700_2,-77.72843558,-77.72361291
0700_3,-77.68242044,-77.68154544
0701_2,-77.70514554,-77.70459382
0702_2,-77.78745006,-77.78507498
0702_3,-77.72105416,-77.71905419
0703_2,-77.78764182,-77.7857135
0703_3,-77.76477591,-77.76259356
0703_4,-77.72696671,-77.72377488
0704_2,-77.73838386,-77.73008312
0704_3,-77.7623901,-77.75866575
0705_2,-77.71458763,-77.70858252
0705_3,-77.72269753,-77.71853235
0705_4,-77.6963765,-77.68800705
0705_5,-77.70197759,-77.69874067
0706_2,-77.7247541,-77.72197839
0707_2,-77.69775964,-77.68864216
0707_3,-77.70188265,-77.69992743
0708_2,-77.73577654,-77.73343484
0709_2,-77.70054544,-77.6926218
0709_3,-77.67982476,-77.67703074
0709_4,-77.68790058,-77.68685776
0710_10,-77.68037504,-77.68006908
0710_2,-77.70063996,-77.70039758
0710_3,-77.68426212,-77.68396099
0710_4,-77.69941383,-77.69911268
0710_5,-77.70821441,-77.70789288
0710_6,-77.69726458,-77.69696401
0710_7,-77.69867915,-77.69840124
0710_8,-77.69876279,-77.69846465
0710_9,-77.69047268,-77.69015901
0711_2,-77.84187272,-77.84100231
0712_2,-77.75858865,-77.74990985
0712_3,-77.76271958,-77.76041468
0712_4,-77.73041726,-77.72981926
0712_5,-77.77347054,-77.77293207
0713_2,-77.72438455,-77.71931528
0713_3,-77.68835375,-77.68578391
0714_2,-77.73584729,-77.73181828
0714_3,-77.76112692,-77.75965541
0715_2,-77.7484061,-77.73780061
0715_3,-77.7904256,-77.78118089
0715_4,-77.73976533,-77.73066926
0715_5,-77.78893102,-77.78045525
0715_6,-77.77868809,-77.77860894
0715_7,-77.83047153,-77.8293365
0717_2,-77.76876181,-77.76504488
0717_3,-77.83940183,-77.83554013
0718_2,-77.76004094,-77.75577855
0718_3,-77.76530346,-77.75737846
0719_2,-77.7061454,-77.70190903
0719_3,-77.75055989,-77.74395533
0720_2,-77.71489329,-77.70793333
0720_3,-77.70312649,-77.69565922
0720_4,-77.68904712,-77.68182125
0720_5,-77.72080138,-77.71697614
0721_2,-77.70234793,-77.6979929
0721_3,-77.70740015,-77.69876869
0721_4,-77.69780086,-77.68940488
0721_5,-77.66934235,-77.66061915
0722_2,-77.77643158,-77.77616011
0722_3,-77.75988767,-77.75976457
0722_4,-77.70451612,-77.7041701
0722_5,-77.75463949,-77.75454638
0722_6,-77.79350563,-77.79343504
0722_7,-77.82515691,-77.82334314
0723_2,-77.68249725,-77.67844539
0723_3,-77.70443956,-77.69697434
0723_4,-77.7070165,-77.69866417
0723_5,-77.69067147,-77.68836627
0724_2,-77.70578765,-77.70080719
0724_3,-77.67316341,-77.67267355
0725_2,-77.69697722,-77.69499908
0726_2,-77.71426143,-77.70725117
0726_3,-77.78607417,-77.78323012
0726_4,-77.715208,-77.71333024
0727_2,-77.71159773,-77.71062149
0727_3,-77.71730515,-77.7123382
0728_2,-77.82583007,-77.82560508
0728_3,-77.79472607,-77.78643562
0728_4,-77.79695409,-77.78970578
0728_5,-77.78290106,-77.77505715
0728_6,-77.74918015,-77.74655458
0729_2,-77.73435494,-77.73399956
0729_3,-77.76743718,-77.76498963
0730_2,-77.78090689,-77.77623102
0730_3,-77.72270055,-77.72059352
0731_2,-77.7062157,-77.6985197
0731_3,-77.81536464,-77.8100283
0732_2,-77.70781171,-77.70653159
0733_2,-77.81218705,-77.80916039
0734_2,-77.71831799,-77.71031783
0734_3,-77.73417224,-77.73139208
0734_4,-77.72915672,-77.72815005
0735_2,-77.7542429,-77.75300654
0736_2,-77.76316784,-77.76072976
0736_3,-77.73719586,-77.73668734
0737_2,-77.71950299,-77.71007128
0737_3,-77.84676191,-77.84614522
0738_2,-77.73089166,-77.72954957
0738_3,-77.71075758,-77.70779633
0738_4,-77.65091104,-77.64720396
0739_2,-77.77435814,-77.76531327
0739_3,-77.69015308,-77.68321288
0739_4,-77.68853072,-77.68827707
0739_5,-77.69940037,-77.69506614
0740_2,-77.8089925,-77.80225087
0740_3,-77.79602933,-77.79549911
0740_4,-77.80487365,-77.80473229
0741_2,-77.74871783,-77.74442362
0741_3,-77.71876621,-77.71381854
0742_2,-77.67271166,-77.67252765
0742_3,-77.66184862,-77.66176884
0742_4,-77.66700951,-77.66700399
0743_2,-77.72088858,-77.72021104
0743_3,-77.72091431,-77.71084891
0743_4,-77.70509029,-77.7032156
0744_2,-77.80300998,-77.80079147
0745_2,-77.77017942,-77.76482767
0745_3,-77.81976575,-77.81305575
0746_2,-77.72502983,-77.72234911
0746_3,-77.76955232,-77.7686466
